code,name,listed_date
1101,台泥,1962/02/09
1102,亞泥,1962/06/08
1103,嘉泥,1969/11/14
1104,環泥,1971/02/01
1108,幸福,1990/06/06
1109,信大,1991/12/05
1110,東泥,1994/10/22
1201,味全,1962/02/09
1203,味王,1964/08/24
1210,大成,1978/05/20
1213,大飲,1981/04/10
1215,卜蜂,1987/07/27
1216,統一,1987/12/28
1217,愛之味,1989/10/28
1218,泰山,1989/11/11
1219,福壽,1990/12/01
1220,台榮,1991/11/20
1225,福懋油,1993/09/27
1227,佳格,1994/04/09
1229,聯華,1976/07/19
1231,聯華食,1995/11/02
1232,大統益,1996/02/09
1233,天仁,1999/01/20
1234,黑松,1999/03/12
1235,興泰,2000/09/11
1236,宏亞,2001/09/17
1256,鮮活果汁-KY,2016/03/17
1301,台塑,1964/07/27
1303,南亞,1967/11/05
1304,台聚,1972/05/20
1305,華夏,1973/03/05
1307,三芳,1985/11/23
1308,亞聚,1986/06/20
1309,台達化,1986/06/27
1310,台苯,1987/08/06
1312,國喬,1988/12/21
1313,聯成,1989/03/27
1314,中石化,1991/07/12
1315,達新,1992/05/09
1316,上曜,1992/10/15
1319,東陽,1994/12/12
1321,大洋,1999/01/26
1323,永裕,2000/09/11
1324,地球,2000/09/11
1325,恆大,2000/09/11
1326,台化,1984/12/20
1337,再生-KY,2011/07/01
1338,廣華-KY,2012/12/19
1339,昭輝,2012/04/24
1340,勝悅-KY,2013/12/06
1341,富林-KY,2018/12/24
1342,八貫,2020/11/24
1402,遠東新,1967/04/14
1409,新纖,1973/08/31
1410,南染,1973/10/18
1413,宏洲,1975/12/23
1414,東和,1976/02/02
1416,廣豐,1976/04/20
1417,嘉裕,1976/12/28
1418,東華,1977/02/14
1419,新紡,1977/03/14
1423,利華,1979/04/02
1432,大魯閣,1982/07/26
1434,福懋,1985/12/24
1435,中福,1987/12/28
1436,華友聯,1988/04/11
1437,勤益控,1988/11/10
1438,三地開發,1988/12/15
1439,中和,1989/05/22
1440,南紡,1989/10/03
1441,大東,1989/10/27
1442,名軒,1989/11/16
1443,立益,1990/04/21
1444,力麗,1990/08/08
1445,大宇,1991/02/05
1446,宏和,1991/10/15
1447,力鵬,1992/01/28
1449,佳和,1992/03/12
1451,年興,1992/12/21
1452,宏益,1992/12/28
1453,大將,1993/04/19
1454,台富,1993/05/07
1455,集盛,1993/10/07
1456,怡華,1993/12/09
1457,宜進,1994/10/20
1459,聯發,1994/10/26
1460,宏遠,1995/04/28
1463,強盛,1996/12/05
1464,得力,1997/01/18
1465,偉全,1997/09/08
1466,聚隆,1998/04/04
1467,南緯,1998/12/21
1468,昶和,1999/01/21
1470,大統新創,1999/05/21
1471,首利,2000/03/06
1472,三洋實業,2000/09/11
1473,台南,2000/09/11
1474,弘裕,2000/10/31
1475,業旺,2000/10/27
1476,儒鴻,2001/04/18
1477,聚陽,2003/01/21
1503,士電,1969/12/15
1504,東元,1973/11/05
1506,正道,1980/08/11
1507,永大,1989/11/09
1512,瑞利,1994/01/28
1513,中興電,1994/03/08
1514,亞力,1994/03/26
1515,力山,1995/02/04
1516,川飛,1995/04/01
1517,利奇,1995/11/14
1519,華城,1997/04/16
1521,大億,1997/10/06
1522,堤維西,1997/10/06
1524,耿鼎,1998/10/30
1525,江申,1999/05/15
1526,日馳,2000/03/27
1527,鑽全,2000/06/21
1528,恩德,2000/09/11
1529,樂士,2000/09/11
1530,亞崴,2000/09/11
1531,高林股,2000/09/11
1532,勤美,2000/09/11
1533,車王電,2001/04/06
1535,中宇,2001/09/17
1536,和大,2001/09/17
1537,廣隆,2002/01/22
1538,正峰,2002/08/26
1539,巨庭,2002/10/29
1540,喬福,2002/08/26
1541,錩泰,2003/03/19
1558,伸興,2014/12/23
1560,中砂,2005/01/31
1568,倉佑,2014/05/14
1582,信錦,2009/12/17
1583,程泰,2008/01/24
1587,吉茂,2018/04/16
1589,永冠-KY,2012/04/27
1590,亞德客-KY,2010/12/13
1597,直得,2020/12/23
1598,岱宇,2016/09/20
1603,華電,1968/06/03
1604,聲寶,1970/12/14
1605,華新,1972/11/03
1608,華榮,1988/07/11
1609,大亞,1988/12/12
1611,中電,1990/01/16
1612,宏泰,1993/05/08
1614,三洋電,1997/09/18
1615,大山,2000/03/30
1616,億泰,2000/09/11
1617,榮星,2000/09/11
1618,合機,2000/09/11
1626,艾美特-KY,2013/03/21
1701,中化,1962/02/09
1702,南僑,1973/05/30
1707,葡萄王,1982/12/20
1708,東鹼,1986/06/16
1709,和益,1986/07/03
1710,東聯,1987/10/21
1711,永光,1988/12/27
1712,興農,1989/12/14
1713,國化,1990/01/31
1714,和桐,1991/08/30
1717,長興,1994/03/31
1718,中纖,1963/12/02
1720,生達,1995/12/12
1721,三晃,1996/05/16
1722,台肥,1998/03/24
1723,中碳,1998/11/27
1725,元禎,2000/09/11
1726,永記,2000/09/11
1727,中華化,2000/09/11
1730,花仙子,2001/09/17
1731,美吾華,2001/09/17
1732,毛寶,2001/09/17
1733,五鼎,2001/09/17
1734,杏輝,2002/08/26
1735,日勝化,2002/08/26
1736,喬山,2003/01/09
1737,臺鹽,2003/11/18
1752,南光,2022/01/19
1760,寶齡富錦,2018/01/23
1762,中化生,2010/12/20
1773,勝一,2009/02/27
1776,展宇,2016/05/09
1783,和康生,2013/12/20
1786,科妍,2013/11/12
1789,神隆,2011/09/29
1795,美時,2019/12/16
1802,台玻,1973/07/20
1805,寶徠,1989/10/20
1806,冠軍,1992/09/29
1808,潤隆,1994/10/26
1809,中釉,1996/04/30
1810,和成,1991/10/14
1817,凱撒衛,2013/10/24
1903,士紙,1963/12/09
1904,正隆,1971/09/10
1905,華紙,1975/02/07
1906,寶隆,1976/04/26
1907,永豐餘,1977/02/22
1909,榮成,1985/11/19
2002,中鋼,1974/12/26
2006,東和鋼鐵,1988/07/13
2007,燁興,1988/10/04
2008,高興昌,1988/12/28
2009,第一銅,1989/10/20
2010,春源,1989/12/22
2012,春雨,1991/10/17
2013,中鋼構,1992/01/21
2014,中鴻,1992/02/20
2015,豐興,1992/05/25
2017,官田鋼,1992/11/02
2020,美亞,1993/04/27
2022,聚亨,1995/03/27
2023,燁輝,1995/07/28
2024,志聯,1995/12/30
2025,千興,1996/02/08
2027,大成鋼,1996/10/24
2028,威致,1996/12/13
2029,盛餘,1997/01/11
2030,彰源,1998/12/24
2031,新光鋼,2000/09/11
2032,新鋼,2000/09/11
2033,佳大,2000/09/11
2034,允強,2001/09/17
2038,海光,2008/12/30
2049,上銀,2009/06/26
2059,川湖,2008/06/25
2062,橋椿,2007/11/16
2069,運錩,2016/03/22
2101,南港,1963/11/01
2102,泰豐,1979/07/16
2103,台橡,1982/09/25
2104,國際中橡,1986/07/15
2105,正新,1987/12/07
2106,建大,1990/12/20
2107,厚生,1992/03/03
2108,南帝,1992/10/27
2109,華豐,2000/05/08
2114,鑫永銓,2010/12/29
2115,六暉-KY,2013/12/25
2201,裕隆,1976/07/08
2204,中華,1991/03/12
2206,三陽工業,1996/07/29
2207,和泰車,1997/02/25
2208,台船,2008/12/22
2211,長榮鋼,2021/04/12
2227,裕日車,2004/12/21
2228,劍麟,2013/11/25
2231,為升,2010/11/19
2233,宇隆,2019/09/17
2236,百達-KY,2015/06/03
2239,英利-KY,2016/01/27
2241,艾姆勒,2020/08/26
2243,宏旭-KY,2017/09/27
2247,汎德永業,2020/10/12
2250,IKKA-KY,2021/05/31
2301,光寶科,1995/11/17
2302,麗正,1985/01/15
2303,聯電,1985/07/16
2305,全友,1988/10/21
2308,台達電,1988/12/19
2312,金寶,1989/11/07
2313,華通,1990/07/24
2314,台揚,1990/08/08
2316,楠梓電,1991/02/05
2317,鴻海,1991/06/18
2321,東訊,1991/11/08
2323,中環,1992/02/17
2324,仁寶,1992/02/18
2327,國巨,1993/10/22
2328,廣宇,1993/11/09
2329,華泰,1994/04/20
2330,台積電,1994/09/05
2331,精英,1994/09/21
2332,友訊,1994/10/17
2337,旺宏,1995/03/15
2338,光罩,1995/04/17
2340,台亞,1995/05/02
2342,茂矽,1995/09/19
2344,華邦電,1995/10/18
2345,智邦,1995/11/15
2347,聯強,1995/12/13
2348,海悅,1996/01/05
2349,錸德,1996/04/23
2351,順德,1996/04/25
2352,佳世達,1996/07/22
2353,宏碁,1996/09/18
2354,鴻準,1996/10/08
2355,敬鵬,1996/10/14
2356,英業達,1996/11/13
2357,華碩,1996/11/14
2358,廷鑫,1996/12/18
2359,所羅門,1996/12/19
2360,致茂,1996/12/21
2362,藍天,1997/04/02
2363,矽統,1997/08/01
2364,倫飛,1997/08/11
2365,昆盈,1997/11/03
2367,燿華,1997/12/13
2368,金像電,1998/03/09
2369,菱生,1998/04/10
2371,大同,1962/02/09
2373,震旦行,1991/08/01
2374,佳能,1995/01/16
2375,凱美,1998/08/29
2376,技嘉,1998/09/24
2377,微星,1998/10/31
2379,瑞昱,1998/10/26
2380,虹光,1998/12/03
2382,廣達,1999/01/08
2383,台光電,1998/11/27
2385,群光,1999/01/05
2387,精元,1999/01/25
2388,威盛,1999/03/05
2390,云辰,1999/06/15
2392,正崴,1999/09/20
2393,億光,1999/11/04
2395,研華,1999/12/13
2397,友通,2000/01/15
2399,映泰,1999/12/16
2401,凌陽,2000/01/27
2402,毅嘉,2000/01/14
2404,漢唐,2000/03/14
2405,浩鑫,2000/03/17
2406,國碩,2000/04/29
2408,南亞科,2000/08/17
2409,友達,2000/09/08
2412,中華電,2000/10/27
2413,環科,2000/09/11
2414,精技,2000/09/11
2415,錩新,2000/09/11
2417,圓剛,2000/09/11
2419,仲琦,2000/09/11
2420,新巨,2000/09/11
2421,建準,2000/09/11
2423,固緯,2000/09/11
2424,隴華,2000/09/11
2425,承啟,2000/09/11
2426,鼎元,2000/09/11
2427,三商電,2000/09/11
2428,興勤,2000/09/11
2429,銘旺科,2000/09/11
2430,燦坤,2000/09/11
2431,聯昌,2000/09/11
2433,互盛電,2000/09/11
